Number of Words,Model,Accuracy,F1-score
5000,Complement Naive Bayes Classifier,0.7707034728406055,0.7458990404916549
10000,Complement Naive Bayes Classifier,0.7707034728406055,0.7456682614453047
None,Complement Naive Bayes Classifier,0.7649154051647373,0.7346534179503126
5000,Decision Tree,0.6197684772929652,0.5745070748297587
10000,Decision Tree,0.6219946571682992,0.5787746084604964
None,Decision Tree,0.6202137132680321,0.575475166
5000,Gradient Boosting Tree,0.7684772929652716,0.7675418126609685
10000,Gradient Boosting Tree,0.7707034728406055,0.7664689841505945
None,Gradient Boosting Tree,0.7693677649154052,0.765950527
5000,Linear SVM,0.7742653606411398,0.7701316803248771
10000,Linear SVM,0.7813891362422084,0.7763830099950612
None,Linear SVM,0.7827248441674087,0.7792319431407437
5000,Logistic Regression,0.8067675868210151,0.8009459132165937
10000,Logistic Regression,0.8125556544968834,0.8069136891585487
None,Logistic Regression,0.8161175422974176,0.8106000779130309
5000,Mutinomial Naive Bayes Classifier,0.6731967943009796,0.6012501291711391
10000,Mutinomial Naive Bayes Classifier,0.6567230632235085,0.5764467518778252
None,Mutinomial Naive Bayes Classifier,0.5997328584149599,0.5045670886188423
5000,RandomForest,0.5347284060552092,0.4156651315146318
10000,RandomForest,0.5253784505788067,0.397402975
None,RandomForest,0.4821905609973286,0.3549786270839152
5000,"Voting(LR,CNB,GBT)",0.7951914514692787,0.7929870345760751
10000,"Voting(LR,CNB,GBT)",0.7983081032947462,0.7935713406786632
None,"Voting(LR,CNB,GBT)",0.802760463,0.7981929419864917
